Mary	F	7065	1880
Anna	F	2604	1880
Emma	F	2003	1880
Elizabeth	F	1939	1880
Minnie	F	1746	1880
Margaret	F	1578	1880
Ida	F	1472	1880
Alice	F	1414	1880
Bertha	F	1320	1880
Sarah	F	1288	1880
John	M	9655	1880
William	M	9532	1880
James	M	5927	1880
Charles	M	5348	1880
George	M	5126	1880
Frank	M	3242	1880
Joseph	M	2632	1880
Thomas	M	2534	1880
Henry	M	2444	1880
Robert	M	2415	1880
Annie	F	1326	1881
Edward	M	2177	1881
Clara	F	1548	1883
Florence	F	1860	1886
Ethel	F	2374	1888
Bessie	F	2278	1888
Harry	M	2759	1888
Helen	F	2417	1891
Ruth	F	3290	1892
Marie	F	2649	1894
Lillian	F	3061	1898
Mildred	F	3088	1903
Dorothy	F	3477	1904
Frances	F	4967	1911
Walter	M	8962	1914
Evelyn	F	11595	1915
Virginia	F	12487	1916
Richard	M	15010	1920
Betty	F	17638	1921
Donald	M	16435	1923
Doris	F	15785	1924
Shirley	F	13315	1927
Barbara	F	13161	1927
Patricia	F	13625	1929
Joan	F	15479	1930
Nancy	F	13518	1934
Carol	F	14521	1936
David	M	17479	1936
Ronald	M	20296	1938
Judith	F	16626	1939
Linda	F	18369	1940
Sandra	F	16150	1940
Carolyn	F	19979	1942
Sharon	F	24713	1943
Michael	M	24743	1943
Susan	F	19222	1945
Donna	F	23519	1947
Larry	M	34938	1947
Kathleen	F	23256	1948
Deborah	F	29063	1950
Gary	M	33749	1950
Karen	F	27998	1951
Debra	F	26832	1952
Pamela	F	25759	1953
Cynthia	F	27616	1954
Mark	M	42222	1955
Steven	M	37821	1955
Lisa	F	25691	1959
Jeffrey	M	33521	1962
Lori	F	23907	1963
Kimberly	F	24128	1964
Tammy	F	20041	1964
Angela	F	18749	1965
Michelle	F	27151	1966
Jennifer	F	18210	1966
Melissa	F	18379	1967
Christopher	M	29426	1967
Brian	M	28655	1967
Amy	F	21464	1969
Laura	F	17920	1969
Tracy	F	18468	1970
Julie	F	15326	1971
Jason	M	34187	1971
Scott	M	30921	1971
Stephanie	F	16885	1972
Heather	F	16321	1972
Nicole	F	15752	1972
Matthew	M	22943	1972
Rebecca	F	14870	1973
Jessica	F	18370	1976
Amanda	F	15590	1976
Daniel	M	24720	1976
Kelly	F	18235	1977
Joshua	M	31137	1979
Crystal	F	19104	1982
Ashley	F	33293	1983
Megan	F	20013	1985
Brittany	F	20311	1986
Andrew	M	33856	1986
Justin	M	31492	1987
Samantha	F	20699	1988
Lauren	F	21063	1989
Emily	F	20308	1991
Brandon	M	29622	1992
Tyler	M	28794	1992
Taylor	F	21267	1993
Nicholas	M	28107	1993
Jacob	M	27484	1993
Hannah	F	17010	1995
Austin	M	25905	1995
Alexis	F	16589	1996
Rachel	F	16117	1996
Madison	F	15188	1997
Abigail	F	14807	2001
Olivia	F	13977	2001
Ethan	M	22109	2002
Anthony	M	20145	2003
Isabella	F	15017	2004
Ava	F	13605	2005
Sophia	F	13501	2006
Chloe	F	11824	2008
Alexander	M	18697	2008
Mia	F	11426	2009
Jayden	M	17288	2009
Noah	M	17247	2009
Aiden	M	15538	2010
Mason	M	19510	2011
Liam	M	16804	2012
Charlotte	F	10115	2014
Harper	F	10295	2015
Benjamin	M	13700	2015
Elijah	M	13902	2016
Amelia	F	11833	2017
Logan	M	14014	2017
Oliver	M	13193	2017
Lucas	M	12585	2018
